22:23:35.055 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
22:23:35.296 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.45	0.40000000000009095	0.40000000000009095	124.80000000002838	0.0	0.0	true	0.40000000000009095	124.80000000002838
22:23:35.297 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.5499999999999545	0.9500000000000455	296.4000000000142	0.0	0.0	true	0.9500000000000455	296.4000000000142
22:23:35.297 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.7	-0.2999999999999545	0.650000000000091	202.80000000002838	-0.2999999999999545	-0.2999999999999545	true	0.650000000000091	202.80000000002838
22:23:35.298 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.5	-0.20000000000004547	0.4500000000000455	140.4000000000142	-0.5	-0.5	true	0.4500000000000455	140.4000000000142
22:23:35.299 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.65	0.15000000000009095	0.6000000000001364	187.20000000004256	-0.34999999999990905	-0.34999999999990905	true	0.6000000000001364	187.20000000004256
22:23:35.300 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.85	0.1999999999998181	0.7999999999999545	249.5999999999858	-0.15000000000009095	-0.15000000000009095	true	0.7999999999999545	249.5999999999858
22:23:35.300 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.15000000000009095	0.9500000000000455	296.4000000000142	0.0	0.0	true	0.9500000000000455	296.4000000000142
22:23:35.301 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.35	-0.650000000000091	0.2999999999999545	93.59999999998581	-0.650000000000091	-0.650000000000091	true	0.2999999999999545	93.59999999998581
22:23:35.302 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.95	0.6000000000001364	0.900000000000091	280.8000000000284	-0.049999999999954525	-0.049999999999954525	true	0.900000000000091	280.8000000000284
22:23:35.303 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.8	-0.15000000000009095	0.75	234.0	-0.20000000000004547	-0.20000000000004547	true	0.75	234.0
22:23:35.303 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.95	0.15000000000009095	0.900000000000091	280.8000000000284	-0.049999999999954525	-0.049999999999954525	true	0.900000000000091	280.8000000000284
22:23:35.304 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.9	-0.049999999999954525	0.8500000000001364	265.20000000004256	-0.09999999999990905	-0.09999999999990905	true	0.8500000000001364	265.20000000004256
22:23:35.305 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.09999999999990905	0.9500000000000455	296.4000000000142	0.0	0.0	true	0.9500000000000455	296.4000000000142
22:23:35.305 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.05	0.049999999999954525	1.0	312.0	0.0	0.0	true	1.0	312.0
22:23:35.306 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.35	0.2999999999999545	1.2999999999999545	405.5999999999858	0.0	0.0	true	1.2999999999999545	405.5999999999858
22:23:35.307 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.4	0.0500000000001819	1.3500000000001364	421.20000000004256	0.0	0.0	true	1.3500000000001364	421.20000000004256
22:23:35.307 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.15	-0.25	1.1000000000001364	343.20000000004256	-0.25	-0.25	true	1.1000000000001364	343.20000000004256
22:23:35.309 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.35	-0.8000000000001819	0.2999999999999545	93.59999999998581	0.0	-1.050000000000182	true	0.2999999999999545	93.59999999998581
22:23:35.309 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	0.34999999999990905	0.6499999999998636	202.79999999995744	0.0	-0.7000000000002728	true	0.6499999999998636	202.79999999995744
22:23:35.310 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.65	0.34999999999990905	0.9999999999997726	311.99999999992906	0.0	-0.3500000000003638	true	0.9999999999997726	311.99999999992906
22:23:35.311 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.75	-0.09999999999990905	0.8999999999998636	280.79999999995744	-0.09999999999990905	-0.45000000000027285	true	0.8999999999998636	280.79999999995744
22:23:35.311 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.05	-0.2999999999999545	0.599999999999909	187.19999999997162	-0.3999999999998636	-0.7500000000002274	true	0.599999999999909	187.19999999997162
22:23:35.312 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	0.049999999999954525	0.6499999999998636	202.79999999995744	-0.34999999999990905	-0.7000000000002728	true	0.6499999999998636	202.79999999995744
22:23:35.312 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.6	-0.599999999999909	0.049999999999954525	15.599999999985812	-0.9499999999998181	-1.300000000000182	true	0.049999999999954525	15.599999999985812
